iter	Passed	Remaining
1334	8007	51971
1335	8013	51967
1336	8019	51959
1337	8024	51951
1338	8030	51946
1339	8037	51941
1340	8043	51937
1341	8049	51933
1342	8056	51932
1343	8062	51927
1344	8068	51919
1345	8074	51913
1346	8080	51908
1347	8086	51899
1348	8092	51894
1349	8097	51885
1350	8103	51877
1351	8109	51871
1352	8115	51863
1353	8120	51853
1354	8126	51847
1355	8132	51840
1356	8138	51835
1357	8143	51823
1358	8148	51813
1359	8154	51806
1360	8160	51798
1361	8166	51790
1362	8171	51779
1363	8176	51771
1364	8182	51762
1365	8188	51753
1366	8193	51747
1367	8199	51740
1368	8205	51730
1369	8211	51723
1370	8217	51717
1371	8222	51708
1372	8228	51701
1373	8233	51690
1374	8239	51681
1375	8244	51673
1376	8250	51663
1377	8255	51653
1378	8261	51648
1379	8267	51639
1380	8273	51635
1381	8279	51627
1382	8283	51614
1383	8289	51606
1384	8295	51599
1385	8301	51592
1386	8307	51585
1387	8312	51577
1388	8318	51568
1389	8324	51561
1390	8330	51555
1391	8335	51545
1392	8341	51537
1393	8346	51525
1394	8351	51518
1395	8357	51510
1396	8363	51501
1397	8368	51493
1398	8374	51487
1399	8380	51479
1400	8386	51471
1401	8391	51463
1402	8398	51459
1403	8404	51456
1404	8411	51455
1405	8417	51452
1406	8423	51447
1407	8430	51442
1408	8435	51435
1409	8441	51428
1410	8447	51419
1411	8452	51410
1412	8458	51403
1413	8464	51397
1414	8470	51392
1415	8477	51389
1416	8483	51385
1417	8489	51379
1418	8495	51372
1419	8501	51365
1420	8506	51356
1421	8512	51348
1422	8518	51341
1423	8523	51334
1424	8529	51325
1425	8534	51316
1426	8541	51316
1427	8548	51312
1428	8554	51306
1429	8560	51301
1430	8566	51296
1431	8572	51291
1432	8578	51284
1433	8584	51279
1434	8590	51273
1435	8596	51268
1436	8602	51261
1437	8607	51252
1438	8613	51244
1439	8619	51239
1440	8626	51236
1441	8632	51232
1442	8638	51224
1443	8643	51216
1444	8651	51217
1445	8656	51209
1446	8662	51204
1447	8670	51205
1448	8676	51201
1449	8682	51198
1450	8689	51194
1451	8694	51186
1452	8700	51176
1453	8705	51169
1454	8711	51162
1455	8717	51156
1456	8723	51148
1457	8728	51137
1458	8733	51128
1459	8740	51124
1460	8745	51113
1461	8750	51102
1462	8756	51097
1463	8762	51090
1464	8768	51083
1465	8774	51077
1466	8779	51068
1467	8785	51063
1468	8791	51053
1469	8796	51043
1470	8802	51036
1471	8807	51026
1472	8813	51018
1473	8819	51015
1474	8826	51013
1475	8832	51010
1476	8838	51004
1477	8845	51001
1478	8852	51000
1479	8857	50992
1480	8864	50988
1481	8870	50983
1482	8876	50976
1483	8882	50971
1484	8887	50961
1485	8893	50955
1486	8899	50947
1487	8904	50938
1488	8910	50930
1489	8916	50923
1490	8921	50912
1491	8927	50906
1492	8933	50901
1493	8939	50894
1494	8944	50883
1495	8949	50874
1496	8955	50866
1497	8961	50859
1498	8966	50851
1499	8973	50848
1500	8980	50847
1501	8986	50843
1502	8993	50841
1503	8999	50835
1504	9005	50831
1505	9011	50827
1506	9017	50822
1507	9023	50814
1508	9029	50807
